index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
0,scene0707_00,All,9e30078f4882e86b,False,322,173,0.5372670807453416,0.4440993788819876,0.8664596273291926,0.3381180968095349,1.4190997029383492,1.4190997029383492,0.0,20.94380001653917,,,,,,,,,
0,scene0707_00,Top-95%,ea25c9e9f22eca70,False,306,170,0.5555555555555556,0.46078431372549017,0.8888888888888888,0.3366322643994863,1.4565465485723996,1.4565465485723996,0.05490001058205962,17.31720002135262,,,,,,,,,
0,scene0707_00,Random-95%-seed17,876cf543e6725060,False,306,164,0.5359477124183006,0.43790849673202614,0.869281045751634,0.4877260093642989,2.0443356066956175,2.0443356066956175,16.618099994957447,12.45740000740625,,,,,,,,,
0,scene0707_00,Random-95%-seed29,f544ca9e22abca67,False,306,162,0.5294117647058824,0.43137254901960786,0.8627450980392157,0.33201712564831176,1.3758705687160282,1.3758705687160282,0.25610000011511147,14.460100006544963,,,,,,,,,
0,scene0707_00,Random-95%-seed41,fe0f147d7fbb31c2,False,306,163,0.5326797385620915,0.43137254901960786,0.8660130718954249,0.3523280990048008,1.4509623274614247,1.4509623274614247,0.03779999678954482,16.54800001415424,,,,,,,,,
0,scene0707_00,Grid-RR,5c436c56109c33d4,False,306,169,0.5522875816993464,0.45751633986928103,0.8660130718954249,0.32669410629855283,1.3883477011379821,1.3883477011379821,0.37280001561157405,12.779300013789907,,,,,,,,,
0,scene0707_00,4D-ANMS,fdeebec24419b529,False,306,166,0.5424836601307189,0.4477124183006536,0.869281045751634,0.3315479399322778,1.4269050051404009,1.4269050051404009,3.908800019416958,15.880999999353662,,,,,,,,,
0,scene0707_00,Unconditional Spatial,ea25c9e9f22eca70,True,306,170,0.5555555555555556,0.46078431372549017,0.8888888888888888,0.3366322643994863,1.4565465485723996,1.4565465485723996,0.2592000237200409,0.0,,,,,,,,,
0,scene0707_00,Single-View Conditional,ea25c9e9f22eca70,True,306,170,0.5555555555555556,0.46078431372549017,0.8888888888888888,0.3366322643994863,1.4565465485723996,1.4565465485723996,7.872400019550696,0.0,,,,,,,,,
0,scene0707_00,CSMR,ea25c9e9f22eca70,True,306,170,0.5555555555555556,0.46078431372549017,0.8888888888888888,0.3366322643994863,1.4565465485723996,1.4565465485723996,0.3586999955587089,0.0,0.95,306,306,0.7440468796430537,0.9375,0.6875,0.9375,0.6875,0
1,scene0707_00,All,ccd55545487bd81c,False,262,133,0.5076335877862596,0.0648854961832061,0.13740458015267176,1.826866530357709,2.821745114452758,2.821745114452758,0.0,13.283600012073293,,,,,,,,,
