index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
0,0015_0,grid_round_robin,600,356,0.5933333333333334,0.5916666666666667,0.9416666666666667,0.05710757155200804,0.5286761965053802,0.5286761965053802,0.6751000182703137,39.9436000152491
0,0015_0,anms_4d,600,345,0.575,0.5716666666666667,0.9383333333333334,0.1921705915374776,1.5844560292910133,1.5844560292910133,11.19940000353381,49.812299956101924
1,0015_0,grid_round_robin,463,214,0.46220302375809935,0.46436285097192226,0.9157667386609071,0.9017481373843029,2.7998338767188025,2.7998338767188025,0.5188999930396676,34.883699961937964
1,0015_0,anms_4d,463,217,0.468682505399568,0.46004319654427644,0.9049676025917927,1.0625973007714549,3.161423654868976,3.161423654868976,7.869799970649183,32.496800005901605
2,0015_0,grid_round_robin,972,688,0.7078189300411523,0.6893004115226338,0.9670781893004116,1.4597132614016828,6.775760095707032,6.775760095707032,0.7451999699696898,34.79539998807013
2,0015_0,anms_4d,972,692,0.7119341563786008,0.6779835390946503,0.9578189300411523,0.6912690393026999,3.387334159056701,3.387334159056701,20.722899993415922,32.866899971850216
3,0015_0,grid_round_robin,757,480,0.6340819022457067,0.6261558784676354,0.952443857331572,0.6060638277673583,3.6928250040331725,3.6928250040331725,0.6531000253744423,41.74829996190965
3,0015_0,anms_4d,757,460,0.607661822985469,0.6089828269484808,0.9379128137384413,0.600200271896089,3.6607167421073292,3.6607167421073292,14.624400006141514,52.39270004676655
4,0015_0,grid_round_robin,309,191,0.6181229773462783,0.5533980582524272,0.9255663430420712,0.6797737610766987,1.6997381813200958,1.6997381813200958,0.3000999568030238,23.106499982532114
4,0015_0,anms_4d,309,185,0.598705501618123,0.5533980582524272,0.9320388349514563,0.48340997621456794,1.4025878511315713,1.4025878511315713,4.7373000415973365,20.793800009414554
5,0015_0,grid_round_robin,762,478,0.6272965879265092,0.610236220472441,0.9435695538057742,0.11911743481342661,0.4520570940970425,0.4520570940970425,0.6231999723240733,39.938800036907196
5,0015_0,anms_4d,762,477,0.6259842519685039,0.6089238845144357,0.9396325459317585,0.12023238961378675,0.4837917157343477,0.4837917157343477,14.075999963097274,41.31900001084432
6,0015_0,grid_round_robin,713,506,0.7096774193548387,0.6760168302945302,0.9733520336605891,0.2937938849745295,0.55086133299327,0.55086133299327,0.5820999504067004,17.97510002506897
6,0015_0,anms_4d,713,497,0.697054698457223,0.6690042075736325,0.967741935483871,0.2902770686641384,0.5120275285929587,0.5120275285929587,12.955499987583607,17.364999977871776
7,0015_0,grid_round_robin,780,479,0.6141025641025641,0.6,0.9461538461538461,0.11676757334848946,0.5504103631687873,0.5504103631687873,0.6083999760448933,35.75069998623803
7,0015_0,anms_4d,780,467,0.5987179487179487,0.5897435897435898,0.9346153846153846,0.06396146472645764,0.26740759805687603,0.26740759805687603,16.305700002703816,44.12819998105988
8,0015_0,grid_round_robin,623,449,0.7207062600321027,0.6886035313001605,0.9630818619582665,0.17055494451529393,0.5676660042653361,0.5676660042653361,0.5177999846637249,16.950299963355064
8,0015_0,anms_4d,623,425,0.6821829855537721,0.6773675762439807,0.9614767255216693,0.5838881420157148,2.1296400434109404,2.1296400434109404,11.360400007106364,29.201500001363456
9,0015_0,grid_round_robin,624,415,0.6650641025641025,0.6618589743589743,0.9391025641025641,0.06671000934979726,0.20764458309478773,0.20764458309478773,0.5448000156320632,33.44229998765513
9,0015_0,anms_4d,624,410,0.657051282051282,0.6506410256410257,0.9310897435897436,0.06757771118029757,0.12215586187066416,0.12215586187066416,11.110000021290034,24.518000020179898
10,0015_0,grid_round_robin,644,423,0.656832298136646,0.6288819875776398,0.9611801242236024,0.2664985419893918,1.869114750220572,1.869114750220572,0.5324000376276672,21.276200015563518
10,0015_0,anms_4d,644,419,0.6506211180124224,0.6288819875776398,0.9518633540372671,0.289452836861619,2.1591451576590264,2.1591451576590264,11.188899981789291,25.466200022492558
11,0015_0,grid_round_robin,528,319,0.6041666666666666,0.6022727272727273,0.9393939393939394,0.4096104280676563,1.3721979123537575,1.3721979123537575,0.4957999917678535,25.320899963844568
11,0015_0,anms_4d,528,314,0.5946969696969697,0.5928030303030303,0.9299242424242424,0.48932162648002137,1.5083609397354298,1.5083609397354298,10.203499987255782,23.576000006869435
12,0015_0,grid_round_robin,467,231,0.49464668094218417,0.4197002141327623,0.854389721627409,2.117554637823418,5.7297213239645535,5.7297213239645535,0.5021000397391617,47.75220004376024
12,0015_0,anms_4d,467,231,0.49464668094218417,0.4089935760171306,0.8458244111349036,2.124651830694765,5.730915768497239,5.730915768497239,7.783900015056133,47.44270001538098
13,0015_0,grid_round_robin,803,564,0.7023661270236613,0.7123287671232876,0.9738480697384807,0.09617977710943766,0.3599139861405795,0.3599139861405795,0.8675000281073153,23.420200042892247
13,0015_0,anms_4d,803,548,0.6824408468244084,0.6936488169364882,0.962640099626401,0.09608347231908626,0.3607903669410203,0.3607903669410203,18.082199967466295,37.65970002859831
14,0015_0,grid_round_robin,810,452,0.5580246913580247,0.5259259259259259,0.9481481481481482,0.7558639006793003,9.927379402398671,9.927379402398671,0.617199984844774,53.467099962290376
14,0015_0,anms_4d,810,441,0.5444444444444444,0.5185185185185185,0.9419753086419753,4.45013612641105,40.33066278530392,40.33066278530392,15.6132000265643,73.21189995855093
15,0015_0,grid_round_robin,1081,770,0.7123034227567068,0.692876965772433,0.9537465309898242,0.3541677931567672,1.0292124629585824,1.0292124629585824,0.804100011009723,30.669900006614625
15,0015_0,anms_4d,1081,756,0.6993524514338575,0.6882516188714154,0.9454209065679926,0.21983231202826872,0.7250602446222943,0.7250602446222943,23.968500026967376,36.350099951960146
16,0015_0,grid_round_robin,530,339,0.6396226415094339,0.569811320754717,0.9566037735849057,0.46355642392330243,1.5491190002439779,1.5491190002439779,0.5623999750241637,24.529799993615597
16,0015_0,anms_4d,530,335,0.6320754716981132,0.5660377358490566,0.9547169811320755,0.48393111024695823,1.6424967479416201,1.6424967479416201,8.719699981156737,30.763499962631613
17,0015_0,grid_round_robin,695,479,0.6892086330935252,0.6115107913669064,0.9669064748201439,0.13074351001628848,0.7354785826813365,0.7354785826813365,0.5978000117465854,30.979199975263327
17,0015_0,anms_4d,695,468,0.6733812949640288,0.6,0.962589928057554,0.5634264014496954,1.3211789528709643,1.3211789528709643,14.079499989748001,22.487200039904565
18,0015_0,grid_round_robin,567,370,0.6525573192239859,0.6225749559082893,0.9382716049382716,0.5247033932392816,0.9540274819718025,0.9540274819718025,0.520200002938509,25.928599992766976
18,0015_0,anms_4d,567,377,0.6649029982363316,0.6172839506172839,0.9294532627865961,0.1523904530269385,0.21494502745016456,0.21494502745016456,9.418400004506111,24.883000005502254
19,0015_0,grid_round_robin,818,497,0.6075794621026895,0.6039119804400978,0.9596577017114915,0.06068453335588949,0.18994640563124462,0.18994640563124462,0.665400002617389,51.12099996767938
19,0015_0,anms_4d,818,497,0.6075794621026895,0.5953545232273839,0.9596577017114915,0.048464128671906866,0.2863485782071416,0.2863485782071416,15.68730000872165,49.6743000112474
20,0015_0,grid_round_robin,535,353,0.6598130841121496,0.6448598130841121,0.9700934579439252,1.143970077256863,4.708678769962316,4.708678769962316,0.47289999201893806,27.03329996438697
20,0015_0,anms_4d,535,352,0.6579439252336449,0.6373831775700934,0.9588785046728971,1.1697062834180196,4.880173485690433,4.880173485690433,9.269999980460852,22.41390000563115
21,0015_0,grid_round_robin,1152,844,0.7326388888888888,0.7395833333333334,0.9809027777777778,0.315477407911693,2.574939530528151,2.574939530528151,0.769199978094548,40.51159997470677
21,0015_0,anms_4d,1152,840,0.7291666666666666,0.7326388888888888,0.9756944444444444,0.04757968344080315,0.4548003691055039,0.4548003691055039,27.12939999764785,42.97830001451075
22,0015_0,grid_round_robin,574,414,0.7212543554006968,0.7142857142857143,0.9738675958188153,0.37390598094376476,0.054749908282959316,0.37390598094376476,0.5093999789096415,14.449700014665723
22,0015_0,anms_4d,574,403,0.7020905923344948,0.6951219512195121,0.9668989547038328,0.37866478097747513,0.05751875168748901,0.37866478097747513,10.240499977953732,14.127800008282065
23,0015_0,grid_round_robin,859,592,0.689173457508731,0.6763678696158324,0.9662398137369034,0.095094332996227,0.7311286250683305,0.7311286250683305,1.202800020109862,24.94729997124523
23,0015_0,anms_4d,859,580,0.6752037252619325,0.6623981373690337,0.9604190919674039,0.09172232541549984,0.7366891369342685,0.7366891369342685,17.597700003534555,36.13459999905899
24,0015_0,grid_round_robin,683,462,0.6764275256222547,0.6412884333821376,0.9707174231332357,0.10239440385861018,0.7567213905276348,0.7567213905276348,0.6945000495761633,26.45860001211986
24,0015_0,anms_4d,683,477,0.698389458272328,0.6559297218155198,0.9707174231332357,0.1964637525461554,0.5885075742211548,0.5885075742211548,12.805200007278472,15.601799997966737
25,0015_0,grid_round_robin,419,284,0.6778042959427207,0.649164677804296,0.954653937947494,0.39161248465196485,1.0572608025596504,1.0572608025596504,0.37369999336078763,22.14379998622462
